,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
0,6,11,15,5,20,4239,573,5602,1941,0
1,6,11,15,5,30,4215,551,5617,1901,0
2,6,11,15,5,40,4175,573,5582,1855,0
3,6,11,15,5,80,4103,564,5540,1754,0
4,6,11,15,5,160,4504,633,5676,1726,0
5,6,11,15,5,250,4952,717,5953,1801,0
6,6,11,15,5,320,5159,770,6052,1848,0
7,6,11,15,10,20,3534,357,5458,896,0
8,6,11,15,10,30,3580,337,5478,888,0
9,6,11,15,10,40,3556,373,5442,859,0
10,6,11,15,10,80,3498,367,5388,815,0
11,6,11,15,10,160,3613,401,5431,833,0
12,6,11,15,10,250,3858,470,5600,870,0
13,6,11,15,10,320,4010,504,5717,929,0
14,6,11,15,15,20,2955,231,5302,553,0
15,6,11,15,15,30,3054,259,5341,543,0
16,6,11,15,15,40,3066,288,5301,527,0
17,6,11,15,15,80,3037,304,5267,520,0
18,6,11,15,15,160,3101,308,5284,534,0
19,6,11,15,15,250,3169,333,5378,571,0
20,6,11,15,15,320,3254,361,5434,587,0
21,6,11,30,5,20,3178,180,5057,615,0
22,6,11,30,5,30,3292,191,5153,539,0
23,6,11,30,5,40,3288,205,5138,474,0
24,6,11,30,5,80,3257,202,5124,356,0
25,6,11,30,5,160,3390,238,5165,356,0
26,6,11,30,5,250,3624,291,5348,410,0
27,6,11,30,5,320,3743,293,5482,440,0
28,6,11,30,10,20,2706,137,5017,240,0
29,6,11,30,10,30,2893,166,5098,230,0
30,6,11,30,10,40,2930,164,5087,207,0
31,6,11,30,10,80,2921,189,5085,165,0
32,6,11,30,10,160,2944,190,5096,174,0
33,6,11,30,10,250,2965,212,5163,196,0
34,6,11,30,10,320,3027,234,5244,223,0
35,6,11,30,15,20,2248,99,4952,152,0
36,6,11,30,15,30,2508,142,5042,139,0
37,6,11,30,15,40,2580,151,5049,122,0
38,6,11,30,15,80,2572,166,5036,97,0
39,6,11,30,15,160,2566,175,5042,113,0
40,6,11,30,15,250,2541,184,5063,125,0
41,6,11,30,15,320,2540,174,5095,133,0
42,6,11,60,5,20,3418,224,5203,778,0
43,6,11,60,5,30,3471,238,5232,708,0
44,6,11,60,5,40,3453,230,5206,626,0
45,6,11,60,5,80,3416,257,5178,472,0
46,6,11,60,5,160,3597,273,5210,450,0
47,6,11,60,5,250,3921,326,5456,514,0
48,6,11,60,5,320,4073,352,5566,559,0
49,6,11,60,10,20,2931,161,5122,328,0
50,6,11,60,10,30,3044,192,5156,301,0
51,6,11,60,10,40,3056,194,5151,262,0
52,6,11,60,10,80,3038,219,5116,221,0
53,6,11,60,10,160,3060,220,5133,221,0
54,6,11,60,10,250,3143,221,5225,255,0
55,6,11,60,10,320,3231,248,5298,264,0
56,6,11,60,15,20,2489,128,5036,188,0
57,6,11,60,15,30,2666,158,5093,183,0
58,6,11,60,15,40,2708,166,5104,168,0
59,6,11,60,15,80,2700,191,5073,134,0
60,6,11,60,15,160,2708,209,5084,136,0
61,6,11,60,15,250,2687,187,5107,147,0
62,6,11,60,15,320,2683,193,5134,168,0
63,6,11,100,5,20,3472,242,5225,817,0
64,6,11,100,5,30,3525,253,5240,734,0
65,6,11,100,5,40,3504,241,5222,663,0
66,6,11,100,5,80,3452,241,5186,494,0
67,6,11,100,5,160,3650,284,5231,473,0
68,6,11,100,5,250,3999,313,5472,531,0
69,6,11,100,5,320,4167,371,5600,596,0
70,6,11,100,10,20,2990,168,5155,341,0
71,6,11,100,10,30,3101,197,5169,311,0
72,6,11,100,10,40,3109,217,5163,289,0
73,6,11,100,10,80,3085,205,5136,244,0
74,6,11,100,10,160,3107,219,5143,239,0
75,6,11,100,10,250,3188,222,5235,257,0
76,6,11,100,10,320,3280,264,5320,284,0
77,6,11,100,15,20,2534,129,5065,197,0
78,6,11,100,15,30,2696,162,5105,189,0
79,6,11,100,15,40,2740,186,5110,179,0
80,6,11,100,15,80,2732,181,5080,141,0
81,6,11,100,15,160,2749,193,5099,149,0
82,6,11,100,15,250,2730,198,5118,161,0
83,6,11,100,15,320,2733,218,5145,177,0
84,6,15,15,5,20,4091,419,5606,915,0
85,6,15,15,5,30,4125,424,5601,873,0
86,6,15,15,5,40,4049,1441,5539,2354,0
87,6,15,15,5,80,3948,392,5470,713,0
88,6,15,15,5,160,3878,373,5412,620,0
89,6,15,15,5,250,3871,385,5401,600,0
90,6,15,15,5,320,3865,379,5401,591,0
91,6,15,15,10,20,3281,303,5373,365,0
92,6,15,15,10,30,3380,307,5386,348,0
93,6,15,15,10,40,3412,310,5380,326,0
94,6,15,15,10,80,3366,313,5325,286,0
95,6,15,15,10,160,3340,304,5289,257,0
96,6,15,15,10,250,3333,302,5279,262,0
97,6,15,15,10,320,3332,302,5282,263,0
98,6,15,15,15,20,2559,217,5185,204,0
99,6,15,15,15,30,2778,232,5231,204,0
100,6,15,15,15,40,2828,225,5236,196,0
101,6,15,15,15,80,2828,242,5192,166,0
102,6,15,15,15,160,2826,248,5178,161,0
103,6,15,15,15,250,2836,244,5175,163,0
104,6,15,15,15,320,2838,246,5181,168,0
105,6,15,30,5,20,2976,124,5031,64,0
106,6,15,30,5,30,3143,144,5096,72,0
107,6,15,30,5,40,3205,159,5113,80,0
108,6,15,30,5,80,3232,182,5074,78,0
109,6,15,30,5,160,3213,183,5056,77,0
110,6,15,30,5,250,3216,185,5054,79,0
111,6,15,30,5,320,3212,189,5060,83,0
112,6,15,30,10,20,2288,90,4936,46,0
113,6,15,30,10,30,2576,121,5008,50,0
114,6,15,30,10,40,2712,140,5028,59,0
115,6,15,30,10,80,2784,157,5031,59,0
116,6,15,30,10,160,2791,166,5016,61,0
117,6,15,30,10,250,2793,167,5020,62,0
118,6,15,30,10,320,2790,169,5023,64,0
119,6,15,30,15,20,1678,55,4795,42,0
120,6,15,30,15,30,2114,97,4923,44,0
121,6,15,30,15,40,2274,104,4975,45,0
122,6,15,30,15,80,2378,125,4980,45,0
123,6,15,30,15,160,2383,133,4973,47,0
124,6,15,30,15,250,2385,136,4969,46,0
125,6,15,30,15,320,2381,136,4970,46,0
126,6,15,60,5,20,3269,164,5172,108,0
127,6,15,60,5,30,3403,190,5184,95,0
128,6,15,60,5,40,3433,206,5155,94,0
129,6,15,60,5,80,3393,214,5115,94,0
130,6,15,60,5,160,3368,213,5096,88,0
131,6,15,60,5,250,3375,216,5100,89,0
132,6,15,60,5,320,3370,218,5098,90,0
133,6,15,60,10,20,2580,120,5033,71,0
134,6,15,60,10,30,2815,155,5073,66,0
135,6,15,60,10,40,2900,159,5079,72,0
136,6,15,60,10,80,2932,182,5061,77,0
137,6,15,60,10,160,2937,181,5051,72,0
138,6,15,60,10,250,2942,183,5052,71,0
139,6,15,60,10,320,2935,185,5052,73,0
140,6,15,60,15,20,1961,77,4905,48,0
141,6,15,60,15,30,2316,117,4987,49,0
142,6,15,60,15,40,2442,130,5015,56,0
143,6,15,60,15,80,2516,136,5005,55,0
144,6,15,60,15,160,2524,145,5001,52,0
145,6,15,60,15,250,2521,152,5000,52,0
146,6,15,60,15,320,2520,155,5002,57,0
147,6,15,100,5,20,3313,175,5198,119,0
148,6,15,100,5,30,3449,189,5206,110,0
149,6,15,100,5,40,3483,207,5170,96,0
150,6,15,100,5,80,3432,199,5119,94,0
151,6,15,100,5,160,3402,200,5103,92,0
152,6,15,100,5,250,3408,207,5105,90,0
153,6,15,100,5,320,3401,205,5106,95,0
154,6,15,100,10,20,2647,109,5058,88,0
155,6,15,100,10,30,2868,157,5086,81,0
156,6,15,100,10,40,2956,171,5086,79,0
157,6,15,100,10,80,2962,178,5071,82,0
158,6,15,100,10,160,2966,177,5051,76,0
159,6,15,100,10,250,2970,181,5054,76,0
160,6,15,100,10,320,2963,179,5054,79,0
161,6,15,100,15,20,2024,86,4921,61,0
162,6,15,100,15,30,2370,114,5008,56,0
163,6,15,100,15,40,2487,140,5020,61,0
164,6,15,100,15,80,2536,147,5018,60,0
165,6,15,100,15,160,2543,142,5006,59,0
166,6,15,100,15,250,2549,148,5009,59,0
167,6,15,100,15,320,2552,152,5011,62,0
168,6,19,15,5,20,3754,355,5540,213,0
169,6,19,15,5,30,3819,378,5535,214,0
170,6,19,15,5,40,3836,358,5511,204,0
171,6,19,15,5,80,3747,346,5438,185,0
172,6,19,15,5,160,3690,351,5354,183,0
173,6,19,15,5,250,3679,354,5342,190,0
174,6,19,15,5,320,3684,355,5340,185,0
175,6,19,15,10,20,2824,220,5268,140,0
176,6,19,15,10,30,3003,256,5314,144,0
177,6,19,15,10,40,3055,244,5305,140,0
178,6,19,15,10,80,3081,258,5268,128,0
179,6,19,15,10,160,3058,262,5208,129,0
180,6,19,15,10,250,3060,265,5199,137,0
181,6,19,15,10,320,3054,267,5200,137,0
182,6,19,15,15,20,2122,146,5059,95,0
183,6,19,15,15,30,2398,185,5134,106,0
184,6,19,15,15,40,2499,183,5148,106,0
185,6,19,15,15,80,2572,205,5142,106,0
186,6,19,15,15,160,2572,203,5098,106,0
187,6,19,15,15,250,2566,211,5090,105,0
188,6,19,15,15,320,2572,216,5091,105,0
189,6,19,30,5,20,2584,91,5001,60,0
190,6,19,30,5,30,2758,103,5037,62,0
191,6,19,30,5,40,2860,108,5039,55,0
192,6,19,30,5,80,2956,133,5014,57,0
193,6,19,30,5,160,2956,133,5008,64,0
194,6,19,30,5,250,2952,137,5008,68,0
195,6,19,30,5,320,2953,139,5013,66,0
196,6,19,30,10,20,1697,49,4834,43,0
197,6,19,30,10,30,2111,72,4929,47,0
198,6,19,30,10,40,2279,80,4947,43,0
199,6,19,30,10,80,2439,106,4965,46,0
200,6,19,30,10,160,2463,114,4960,56,0
201,6,19,30,10,250,2467,120,4960,55,0
202,6,19,30,10,320,2466,121,4959,56,0
203,6,19,30,15,20,989,30,4475,32,0
204,6,19,30,15,30,1596,55,4803,39,0
205,6,19,30,15,40,1839,67,4860,37,0
206,6,19,30,15,80,2043,85,4904,39,0
207,6,19,30,15,160,2061,92,4899,45,0
208,6,19,30,15,250,2059,96,4901,46,0
209,6,19,30,15,320,2062,97,4898,45,0
210,6,19,60,5,20,2929,134,5120,81,0
211,6,19,60,5,30,3065,147,5128,83,0
