,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
0,6,11,15,5,20,3920,199,5452,1770,1014
1,6,11,15,5,30,3903,191,5459,1718,1013
2,6,11,15,5,40,3839,176,5429,1677,1064
3,6,11,15,5,80,3766,163,5371,1551,1110
4,6,11,15,5,160,4078,139,5479,1490,1353
5,6,11,15,5,250,4446,143,5690,1497,1647
6,6,11,15,5,320,4599,140,5776,1530,1784
7,6,11,15,10,20,3255,35,5331,751,873
8,6,11,15,10,30,3315,34,5346,732,856
9,6,11,15,10,40,3270,34,5310,707,909
10,6,11,15,10,80,3214,29,5255,654,916
11,6,11,15,10,160,3301,32,5272,636,1037
12,6,11,15,10,250,3483,31,5416,647,1221
13,6,11,15,10,320,3599,31,5517,685,1328
14,6,11,15,15,20,2762,14,5207,445,613
15,6,11,15,15,30,2838,13,5235,418,693
16,6,11,15,15,40,2831,13,5200,408,730
17,6,11,15,15,80,2797,13,5155,382,781
18,6,11,15,15,160,2846,10,5159,377,835
19,6,11,15,15,250,2893,12,5236,396,914
20,6,11,15,15,320,2953,11,5284,403,985
21,6,11,30,5,20,3044,23,4998,545,420
22,6,11,30,5,30,3147,21,5082,449,476
23,6,11,30,5,40,3128,14,5059,376,528
24,6,11,30,5,80,3094,8,5043,258,536
25,6,11,30,5,160,3195,7,5068,235,644
26,6,11,30,5,250,3382,7,5236,269,779
27,6,11,30,5,320,3493,7,5361,292,805
28,6,11,30,10,20,2588,7,4970,181,354
29,6,11,30,10,30,2749,5,5036,153,444
30,6,11,30,10,40,2794,5,5017,121,451
31,6,11,30,10,80,2758,4,5012,79,507
32,6,11,30,10,160,2784,5,5016,72,527
33,6,11,30,10,250,2783,4,5075,84,590
34,6,11,30,10,320,2828,4,5148,102,646
35,6,11,30,15,20,2158,3,4911,101,278
36,6,11,30,15,30,2383,2,4995,78,373
37,6,11,30,15,40,2456,3,4999,58,386
38,6,11,30,15,80,2430,2,4983,33,423
39,6,11,30,15,160,2414,2,4981,30,469
40,6,11,30,15,250,2384,2,4998,38,491
41,6,11,30,15,320,2394,3,5028,43,474
42,6,11,60,5,20,3264,42,5117,679,521
43,6,11,60,5,30,3293,33,5138,591,594
44,6,11,60,5,40,3279,28,5111,509,588
45,6,11,60,5,80,3215,17,5081,355,655
46,6,11,60,5,160,3381,16,5098,317,718
47,6,11,60,5,250,3647,12,5317,347,894
48,6,11,60,5,320,3773,13,5418,387,959
49,6,11,60,10,20,2799,10,5056,239,438
50,6,11,60,10,30,2884,8,5081,205,515
51,6,11,60,10,40,2897,9,5076,171,510
52,6,11,60,10,80,2855,5,5034,127,573
53,6,11,60,10,160,2880,7,5039,108,600
54,6,11,60,10,250,2954,7,5123,126,634
55,6,11,60,10,320,3024,7,5197,142,671
56,6,11,60,15,20,2378,4,4988,123,348
57,6,11,60,15,30,2528,3,5034,104,431
58,6,11,60,15,40,2567,3,5039,89,448
59,6,11,60,15,80,2538,2,5008,57,493
60,6,11,60,15,160,2534,3,5012,48,540
61,6,11,60,15,250,2525,4,5034,56,509
62,6,11,60,15,320,2518,3,5058,68,531
63,6,11,100,5,20,3312,48,5131,709,556
64,6,11,100,5,30,3344,39,5142,617,610
65,6,11,100,5,40,3326,32,5128,548,596
66,6,11,100,5,80,3262,18,5093,377,623
67,6,11,100,5,160,3418,14,5115,331,760
68,6,11,100,5,250,3737,12,5332,366,868
69,6,11,100,5,320,3848,14,5435,404,1033
70,6,11,100,10,20,2848,8,5078,247,473
71,6,11,100,10,30,2939,10,5090,210,529
